,,Algeria,Tihemboka Arch - Illizi Basin (Illizi Basin),Amasralad 1,AMD-1,,,Amasralad 1,Basement,Upper Proterozoic
,,Algeria,Tihemboka Arch - Illizi Basin (Illizi Basin),Amasralad 2,AMD-2,,,Amasralad 1,Basement,Upper Proterozoic
,,Algeria,Tihemboka Arch - Illizi Basin (Illizi Basin),Amasralad 3,AMD-3,,,Amasralad 1,,Ordovician
,,Algeria,Tihemboka Arch - Illizi Basin (Illizi Basin),Amasralad 4,AMD-4,,,Amasralad 1,,Cambrian
,,Algeria,Tindouf Basin,Aroueta Est 1,ARE-1,Aroueta East 1,,,Basement,Precambrian
,,Algeria,Tilrhemt Uplift,Belketaief 1,BEL-1,,,Belketaief 1,,Ordovician
,,Algeria,Tilrhemt Uplift,Belketaief 2,BEL-2,,,Belketaief 1,,Gedinnian
,,Algeria,Tihemboka Arch - Illizi Basin (Illizi Basin),Belle Meuniere 1,BMR-1,,,,,
,,Algeria,Illizi Basin,Bourarhet Sud 1,BRTS-1,Bourarhet South 1,"Bourarhet Sud / 230, 231",,,
,,Algeria,Timimoun Basin,Bouteraa 1,BTA-1,,In Salah / 322-346,Bouteraa 1,,Silurian
,,Algeria,Touggourt Uplift,El Alenndaia 1,ALD-1,,,,,Ordovician
,,Algeria,Meharez-Oued-Namous Uplift,El Arich El Megta 1,AMG-1,,,,,Lower Cambrian
,,Algeria,Tindouf Basin,El Aroueta Nord 1,EAN-1,El Aroueta North 1,,,,Precambrian
,,Algeria,Illizi Basin,Erg Bourarhet Ouest 1,OEB-1,Erg Bourarhet West 1,"Bourarhet Sud / 230, 231",,,
,,Algeria,Illizi Basin,Gara Louki 1,GLK-1,,,,,Upper Proterozoic
,,Algeria,Tindouf Basin,Hamada De Tindouf 1,HTN-1,,,,Basement,Precambrian
,,Algeria,Timimoun Basin,Imizhrene 1,AMZ-1,,In Salah / 322-346,,Strunian Sandstones,Devonian
,,Algeria,Tihemboka Arch - Illizi Basin (Illizi Basin),In Amenas 2,INA-2,,In Amenas / 240,In Amenas,,
,,Algeria,Illizi Basin,In Kraf 1,IKF-1,,,,,Cambrian
,,Algeria,Timimoun Basin,Krechba 005,KB-5,,,Krechba (ISG),,
,,Algeria,Timimoun Basin,Krechba 006,KB-6,,Krechba / 345,Krechba (ISG),,
,,Algeria,Timimoun Basin,Krechba 007,KB-7,,Krechba / 345,Krechba (ISG),,
,,Algeria,Timimoun Basin,Krechba 009,KB-9,,Krechba / 345,Krechba (ISG),,Devonian
,,Algeria,Timimoun Basin,Krechba 010,KB-10,,Krechba / 345,Krechba (ISG),,
,,Algeria,Timimoun Basin,Krechba 011,KB-11,,Krechba / 345,Krechba (ISG),,
,,Algeria,Timimoun Basin,Krechba 012,KB-12,,Krechba / 345,Krechba (ISG),,
,,Algeria,Timimoun Basin,Krechba 013,KB-13,,Krechba / 345,Krechba (ISG),,
,,Algeria,Timimoun Basin,Krechba 014,KB-14,,Krechba / 345,Krechba (ISG),,
,,Algeria,Timimoun Basin,Krechba 015,KB-15,,Krechba / 345,Krechba (ISG),,
,,Algeria,Timimoun Basin,Krechba 019,KB-19,,,Krechba (ISG),,
,,Algeria,Timimoun Basin,Krechba 022,KB-22,,,Krechba (ISG),,
,,Algeria,Timimoun Basin,Krechba 501,KB-501,,Krechba / 345,Krechba (ISG),,
